delta,epoch,epsilon,test_acc,sigma,clip,lot_size
5e-05,4,0.7379770935447996,0.35749998688697815,1.5,0.17,60
5e-05,5,0.825875836651964,0.3474999964237213,1.5,0.17,60
5e-05,6,0.9063274847378497,0.3812499940395355,1.5,0.17,60
5e-05,7,0.9810932915269687,0.4012500047683716,1.5,0.17,60
5e-05,8,1.0513296369840144,0.38499999046325684,1.5,0.17,60
5e-05,9,1.1178448024127854,0.48875001072883606,1.5,0.17,60
5e-05,10,1.1812305011439452,0.42875000834465027,1.5,0.17,60
5e-05,11,1.241935542745537,0.5699999928474426,1.5,0.17,60
5e-05,12,1.3003100284484774,0.606249988079071,1.5,0.17,60
5e-05,13,1.3566334078048614,0.6637499928474426,1.5,0.17,60
5e-05,14,1.4111330008036003,0.6549999713897705,1.5,0.17,60
5e-05,15,1.4639967658072246,0.668749988079071,1.5,0.17,60
5e-05,16,1.5153821774134377,0.6737499833106995,1.5,0.17,60
5e-05,17,1.565422771717415,0.6462500095367432,1.5,0.17,60
5e-05,18,1.6142330205721442,0.7275000214576721,1.5,0.17,60
5e-05,19,1.6619118813376264,0.7275000214576721,1.5,0.17,60
5e-05,20,1.7085456166451485,0.7300000190734863,1.5,0.17,60
5e-05,21,1.7542100081968923,0.7262499928474426,1.5,0.17,60
5e-05,22,1.798972000631577,0.737500011920929,1.5,0.17,60
5e-05,23,1.8428911358620328,0.7412499785423279,1.5,0.17,60
5e-05,24,1.8860206284603696,0.7400000095367432,1.5,0.17,60
5e-05,25,1.9284082830875766,0.7512500286102295,1.5,0.17,60
5e-05,26,1.9700972232314873,0.7462499737739563,1.5,0.17,60
5e-05,27,2.0111265324053824,0.7437499761581421,1.5,0.17,60
5e-05,28,2.0515317419557517,0.7737500071525574,1.5,0.17,60
5e-05,29,2.0913452915201627,0.7925000190734863,1.5,0.17,60
5e-05,30,2.1305968673704943,0.7900000214576721,1.5,0.17,60
5e-05,31,2.169313763085784,0.7712500095367432,1.5,0.17,60
5e-05,32,2.207521085375549,0.7549999952316284,1.5,0.17,60
5e-05,33,2.2452420396716035,0.7825000286102295,1.5,0.17,60
